Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education
1960,Belgium,BEL,EU,11649.37,10.248826370274074,2.9257495920705754,3.0675499999999993,34083.1395253792,88.39157753485529,30211.6003961569,9.3630073802784,10.315981248686157,1.1208791973885874
1961,Belgium,BEL,EU,12188.77,10.723377092255246,2.956127858314313,3.4351439999999993,36031.56255558575,93.81145997501922,31734.5745757133,9.40827031500533,10.365162046127265,1.234058846193015
1962,Belgium,BEL,EU,12773.1,11.237456112231628,2.9868215442585186,3.8027379999999993,38150.970266968485,99.42022848874969,33286.29682609004,9.455096676026457,10.412901084552386,1.3357213335936653
1963,Belgium,BEL,EU,13229.65,11.63911746210279,3.017833924928391,4.170331999999999,39924.88658492889,105.09413224152749,34824.35907867966,9.490215801732607,10.458072394420636,1.4279956489484544
1964,Belgium,BEL,EU,14016.71,12.331553300520481,3.049168309353949,4.537925999999999,42739.30793340459,111.12003760755631,36442.736619908064,9.548005468285876,10.50349744789294,1.5124700794816348
1965,Belgium,BEL,EU,14384.57,12.6551873913399,3.080828040923105,4.905519999999998,44316.38661262127,117.10802274244284,38011.86602656145,9.573911383289996,10.545653653821192,1.5903611016693622
1966,Belgium,BEL,EU,14738.64,12.966689382685608,3.112816497738406,5.273113999999998,45878.68174622718,123.04823076058187,39529.5485133742,9.598227895543552,10.584803734858802,1.6626210798860341
1967,Belgium,BEL,EU,15223.77,13.393494706665452,3.145137092977479,5.640707999999997,47880.84372195776,129.0588316216124,41034.405752861254,9.630613301137217,10.622166158488533,1.7300095895463892
1968,Belgium,BEL,EU,15800.0,13.900447547835663,3.177793275257217,6.008301999999997,50209.13374906403,135.2157492721513,42550.20310004485,9.667765219015058,10.658439907199172,1.793142179510109
1969,Belgium,BEL,EU,16799.87,14.78010833832012,3.2107885290017464,6.3758959999999965,53940.829884720566,141.88291265414233,44189.42928585041,9.729126427266173,10.696240883034607,1.852524630188009
1970,Belgium,BEL,EU,17849.49,7.92,3.244126374814219,6.743489999999996,57906.00128598265,141.28993789489377,43552.53820929988,9.789730215371042,10.68172326322981,1.9085775950642068
1971,Belgium,BEL,EU,18527.15,8.52,3.2778103698524585,7.1110839999999955,60728.48439381198,141.33254162120014,43117.973791620476,9.826992502809137,10.671695214488565,1.9616546935161843
1972,Belgium,BEL,EU,19432.03,9.88,3.3118441082085126,7.478677999999995,64355.85406603106,142.7325891239281,43097.61705575476,9.87467801452602,10.671222985833774,2.012056038398476
1973,Belgium,BEL,EU,20607.18,13.17,3.3462312212921415,7.846271999999995,68956.389098787,147.3386337764924,44031.217221025705,9.933394837739751,10.692654143632852,2.0600385145328803
1974,Belgium,BEL,EU,21480.26,16.97,3.3809753782182916,8.213865999999994,72624.23017772724,155.46831574990284,45983.27356995767,9.974889652832598,10.736032991301762,2.1058237017903894
1975,Belgium,BEL,EU,20997.21,17.49,3.416080286198591,8.581459999999995,71728.15514617192,163.63021680490868,47899.99153883943,9.952144850736412,10.776870606756807,2.1496040621939234
1976,Belgium,BEL,EU,22144.52,19.18,3.4515496909369103,8.949053999999995,76432.91116194623,172.99240379661416,50120.21245148466,10.005345340800643,10.822179647857459,2.1915478283762795
1977,Belgium,BEL,EU,22255.68,22.06,3.48738737702903,9.316647999999995,77614.17749919744,184.6728595688173,52954.50135113569,10.010352535914638,10.877188358769185,2.231802907353173
1978,Belgium,BEL,EU,22866.82,26.75,3.523597168366457,9.684241999999996,80573.46220154547,200.34248799468824,56857.3756935919,10.037442230562743,10.948301230316302,2.2705000284372634
1979,Belgium,BEL,EU,23381.13,30.19,3.5601829285444366,10.051835999999996,83241.09987607818,218.51193871500692,61376.60426464223,10.059684565765723,11.024784003486653,2.3077553043870895
1980,Belgium,BEL,EU,24393.3,33.68,3.597148561274199,10.419429999999997,87746.32399972991,239.0812223921065,66464.09463483989,10.102063783410577,11.104417150525931,2.343672332333783
1981,Belgium,BEL,EU,24325.81,23.64,3.6344980107994846,10.787023999999997,88412.10805608622,248.3763490485801,68338.55688201201,10.09929320557483,11.132229408706667,2.3783439302911598
