Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education,predicted,residuals,predicted_gdp_per_capita,gdp_growth_rate,predicted_growth_rate,capital_contribution,human_capital_contribution,ptf_contribution
1960,Belgium,BEL,EU,11649.37,10.248826370274074,2.9257495920705754,3.0675499999999998,34083.1395253792,88.39157753485529,30211.6003961569,9.3630073802784,10.315981248686157,1.1208791973885874,9.342680807033153,0.02032657324524756,11414.968586753792,,,,,
1961,Belgium,BEL,EU,12188.77,10.723377092255246,2.956127858314313,3.4351439999999998,36031.56255558575,93.81145997501922,31734.5745757133,9.40827031500533,10.365162046127264,1.234058846193015,9.405652238845157,0.0026180761601732883,12156.900608292084,4.630293311998845,6.499641377894361,0.9395529132718541,5.357590267928639,-1.7708497085075166
1962,Belgium,BEL,EU,12773.1,11.237456112231628,2.986821544258518,3.8027379999999993,38150.970266968485,99.42022848874969,33286.29682609004,9.455096676026455,10.412901084552386,1.3357213335936653,9.462896352129045,-0.007799676102589359,12873.115580355587,4.794003004404868,5.891427388778525,0.9120094622872307,4.812401866101512,-1.0417752262762177
1963,Belgium,BEL,EU,13229.65,11.63911746210279,3.017833924928391,4.170331999999999,39924.88658492889,105.09413224152748,34824.35907867966,9.490215801732608,10.458072394420636,1.4279956489484544,9.515205841662908,-0.0249900399302998,13564.425080953975,3.5743085077232672,5.370180173425365,0.862955421449647,4.367993531936604,-1.7190363827709572
1964,Belgium,BEL,EU,14016.71,12.33155330052048,3.049168309353949,4.537925999999999,42739.30793340459,111.12003760755633,36442.736619908064,9.548005468285876,10.50349744789294,1.5124700794816348,9.563871571443537,-0.015866103157661016,14240.874170271438,5.949212564202377,4.98693520204756,0.8678029545279439,3.998770023535149,0.9123936772636412
1965,Belgium,BEL,EU,14384.57,12.6551873913399,3.080828040923105,4.905519999999998,44316.38661262127,117.10802274244284,38011.86602656145,9.573911383289996,10.545653653821192,1.5903611016693622,9.608796427570555,-0.03488504428055883,14895.231804096862,2.6244389731969964,4.594926027725399,0.8053546943765575,3.6871309183251015,-1.9018941122896273
1966,Belgium,BEL,EU,14738.64,12.966689382685608,3.112816497738406,5.273113999999998,45878.68174622718,123.04823076058187,39529.5485133742,9.598227895543552,10.584803734858802,1.662621079886034,9.650481421901931,-0.05225352635837943,15529.262431955609,2.461456963955122,4.256601281521233,0.7479255036025638,3.420573929535208,-1.736848207782192
1967,Belgium,BEL,EU,15223.77,13.393494706665452,3.145137092977479,5.640707999999997,47880.84372195776,129.0588316216124,41034.40575286125,9.630613301137217,10.622166158488533,1.7300095895463892,9.689518891763907,-0.058905590626689985,16147.473741881762,3.2915520020843303,3.9809444436589514,0.713773988928235,3.18997299726919,-0.6652064268309267
1968,Belgium,BEL,EU,15800.0,13.900447547835665,3.177793275257217,6.008301999999997,50209.13374906403,135.2157492721513,42550.20310004485,9.667765219015058,10.658439907199172,1.793142179510109,9.726333753839961,-0.05856853482490365,16753.018899847786,3.7850676934819694,3.7500922289498417,0.6929758777739286,2.988510329831688,0.03370558017848392
1969,Belgium,BEL,EU,16799.87,14.78010833832012,3.2107885290017464,6.3758959999999965,53940.829884720566,141.88291265414233,44189.42928585041,9.729126427266172,10.696240883034609,1.852524630188009,9.761665173137317,-0.032538745871145025,17355.507551644616,6.328291139240494,3.5962990037712084,0.7221521166514846,2.8109898130839843,2.602978895375922
1970,Belgium,BEL,EU,17849.49,7.92,3.244126374814219,6.743489999999996,57906.00128598265,141.28993789489377,43552.53820929988,9.789730215371042,10.68172326322981,1.9085775950642068,9.785425536212914,0.004304679158128266,17772.818813238348,6.247786441204628,2.4044889517171653,-0.2773454822017882,2.653381789761438,3.6843425029274157
1971,Belgium,BEL,EU,18527.15,8.52,3.2778103698524585,7.111083999999996,60728.48439381198,141.33254162120014,43117.97379162048,9.826992502809135,10.671695214488564,1.9616546935161845,9.808634902380614,0.01835760042852108,18190.138806026644,3.7965230379131354,2.3480799369734795,-0.19157644648914568,2.5125130632591386,1.4052921270393082
1972,Belgium,BEL,EU,19432.03,9.88,3.3118441082085126,7.478677999999995,64355.85406603106,142.7325891239281,43097.61705575476,9.87467801452602,10.671222985833774,2.012056038398476,9.832403195462554,0.04227481906346675,18627.66640084657,4.884075532394339,2.405301023183881,-0.00902148463268207,2.385850792826591,2.39172186349462
1973,Belgium,BEL,EU,20607.18,13.17,3.346231221292141,7.846271999999995,68956.389098787,147.3386337764924,44031.217221025705,9.933394837739751,10.692654143632852,2.0600385145328803,9.859210903653318,0.07418393408643276,19133.78507692962,6.047489634381997,2.7170267342776055,0.4094221279967083,2.2713486910797624,3.1909115022965797
1974,Belgium,BEL,EU,21480.26,16.97,3.380975378218292,8.213865999999994,72624.23017772724,155.46831574990284,45983.27356995767,9.974889652832598,10.736032991301762,2.1058237017903894,9.88917138007012,0.08571827276247745,19715.716333060172,4.236775725742192,3.041380750284528,0.8287121157501732,2.167335525930033,1.1534338676044635
1975,Belgium,BEL,EU,20997.21,17.49,3.416080286198591,8.581459999999995,71728.15514617192,163.63021680490868,47899.99153883943,9.952144850736412,10.776870606756807,2.1496040621939234,9.917697352141127,0.03444749859528429,20286.22477428768,-2.2488089064098826,2.8936734105412754,0.7801642626435573,2.0724329444571166,-5.127077416719297
